Title,Plot,Released,Genre,Main_Genre,IMDb_Rating,Year,Director,Actors,IMDb_ID
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",02 May 2008,"Action, Adventure, Sci-Fi",Action,7.9,2008,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Terrence Howard",tt0371746
Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",17 Dec 2021,"Action, Adventure, Fantasy",Action,8.2,2021,Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch",tt10872600
Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",03 May 2013,"Action, Adventure, Sci-Fi",Action,7.1,2013,Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow",tt1300854
Spider-Man,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",03 May 2002,"Action, Adventure, Sci-Fi",Action,7.4,2002,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe",tt0145487
Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",07 May 2010,"Action, Sci-Fi",Action,6.9,2010,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow",tt1228705
Man of Steel,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,14 Jun 2013,"Action, Adventure, Sci-Fi",Action,7.1,2013,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon",tt0770828
Spider-Man: Homecoming,Peter Parker tries to stop Adrian 'The Vulture' Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,07 Jul 2017,"Action, Adventure, Sci-Fi",Action,7.4,2017,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr.",tt2250912
Ant-Man,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",17 Jul 2015,"Action, Comedy, Sci-Fi",Action,7.2,2015,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll",tt0478970
Spider-Man 2,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,30 Jun 2004,"Action, Adventure, Sci-Fi",Action,7.5,2004,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina",tt0316654
Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,14 Dec 2018,"Animation, Action, Adventure",Action,8.4,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld",tt4633694
